record_id,date,province,city,district,prov_code,city_code,district_code,lat,lon,channel,brand,sku,visits,sales_rmb,revenue_rmb
R00001,2025/11/11,山东省,济南市,历下区,15,1501,150101,36.664625,117.115442,线上-电商,家乐福,生鲜,5,818.14,1386.39
R00002,2025/9/21,上海市,上海市,黄浦区,11,1101,110105,31.251141,121.45534,线下-专卖店,盒马鲜生,饮料,4,714.35,518.16
R00003,2025/12/1,广东省,深圳市,龙岗区,16,1602,160205,22.477178,114.075558,线下-专卖店,盒马鲜生,饮料,3,859.25,1391.24
R00004,2025/9/7,湖北省,武汉市,汉口(江汉区),20,2001,200102,30.753555,114.447961,线下-专卖店,盒马鲜生,家居,5,348.22,271.73
R00005,2025/11/23,福建省,厦门市,湖里区,21,2101,210102,24.414866,118.054751,线下-便利店,盒马鲜生,生鲜,6,1189.14,1492.32
R00006,2025/9/4,江苏省,南京市,鼓楼区,17,1701,170101,32.049245,118.752957,线下-便利店,大润发,日用品,8,3.02,2253.96
R00007,2025/11/19,浙江省,杭州市,西湖区,19,1901,190101,30.261597,120.117408,线下-专卖店,沃尔玛,零食,3,157.39,541.38
R00008,2025/9/8,重庆市,重庆市,南岸区,23,2301,230103,29.526004,106.396183,线下-专卖店,大润发,日用品,5,813.25,690.61
R00009,2025/10/3,广东省,深圳市,罗湖区,16,1602,160203,22.570965,114.085152,线上-即时零售,家乐福,饮料,3,1195.83,0.0
R00010,2025/10/5,四川省,成都市,武侯区,13,1301,130103,30.522174,103.984443,线下-便利店,大润发,生鲜,4,701.33,876.97
R00011,2025/12/12,天津市,天津市,和平区,14,1401,140101,39.152462,117.219025,线下-专卖店,大润发,生鲜,4,790.59,738.39
R00012,2025/10/22,浙江省,杭州市,萧山区,19,1901,190105,30.289095,120.162949,线上-电商,大润发,饮料,4,638.14,1840.01
R00013,2025/9/28,广东省,深圳市,南山区,16,1602,160201,22.660067,114.12218,线下-便利店,大润发,零食,1,1460.18,1019.53
R00014,2025/12/14,陕西省,西安市,莲湖区,24,2401,240103,34.32684,109.009288,线上-电商,大润发,生鲜,1,391.33,681.54
R00015,2025/9/24,四川省,成都市,青羊区,13,1301,130102,30.49379,104.143384,线下-大卖场,家乐福,零食,5,1305.3,363.0
R00016,2025/10/24,辽宁省,沈阳市,铁西区,22,2201,220105,41.624781,123.440235,线上-即时零售,沃尔玛,饮料,5,957.39,335.85
R00017,2025/10/23,广东省,广州市,番禺区,16,1601,160105,23.284075,113.389692,线下-大卖场,大润发,生鲜,7,1171.0,728.67
R00018,2025/9/16,山东省,济南市,市中区,15,1501,150102,36.800823,117.199179,线下-专卖店,沃尔玛,生鲜,4,1431.94,1114.92
R00019,2025/12/5,四川省,成都市,高新区,13,1301,130105,30.46104,104.072539,线上-即时零售,大润发,饮料,3,1079.06,1102.86
R00020,2025/10/1,辽宁省,沈阳市,和平区,22,2201,220101,41.810431,123.350516,线上-电商,盒马鲜生,家居,3,1042.82,507.48
R00021,2025/9/9,广东省,广州市,白云区,16,1601,160104,23.136124,113.287377,线上-即时零售,家乐福,家居,4,997.08,239.44
R00022,2025/11/5,重庆市,重庆市,江北区,23,2301,230102,29.61134,106.520982,线上-即时零售,大润发,日用品,6,590.96,160.94
R00023,2025/9/7,陕西省,西安市,碑林区,24,2401,240102,34.376284,109.008996,线下-便利店,家乐福,家居,2,1764.35,594.8
R00024,2025/9/27,天津市,天津市,滨海新区,14,1401,140105,39.044606,117.231103,线下-专卖店,盒马鲜生,饮料,6,1159.91,2342.07
R00025,2025/12/1,江苏省,南京市,玄武区,17,1701,170103,32.012062,118.822544,线下-大卖场,沃尔玛,家居,3,689.52,1192.28
R00026,2025/10/2,上海市,上海市,静安区,11,1101,110104,31.272198,121.466827,线上-即时零售,大润发,日用品,4,855.76,634.72
R00027,2025/12/13,山东省,济南市,天桥区,15,1501,150104,36.659001,117.141734,线下-便利店,大润发,饮料,2,1182.34,2379.72
R00028,2025/12/13,广东省,深圳市,龙岗区,16,1602,160205,22.605695,114.007885,线上-电商,家乐福,零食,3,989.87,1568.9
R00029,2025/10/15,江苏省,南京市,秦淮区,17,1701,170104,32.115981,119.288365,线下-大卖场,沃尔玛,家居,4,1037.74,1930.14
R00030,2025/10/2,陕西省,西安市,长安区,24,2401,240105,34.335846,108.943529,线下-专卖店,家乐福,日用品,4,91.55,1112.39
R00031,2025/10/28,北京市,北京市,海淀区,12,1201,120102,39.855862,116.419989,线上-即时零售,大润发,家居,2,1044.76,1229.41
R00032,2025/9/5,广东省,深圳市,罗湖区,16,1602,160203,22.339823,113.994542,线下-便利店,大润发,生鲜,4,591.02,1374.68
